MASKED_CUSTOMER_ID,COLOR_QUIZ_1,COLOR_QUIZ_2,STYLE_QUIZ_RESULT,PERSONAL_STYLE_DESCRIPTION_REWRITTEN_AI
41,Cool,Soft,City minimalist,
36,Warm,Soft,City minimalist,
2,Cool,Soft,Eclectic,
28,Warm,Clear,City minimalist,
48,Warm,Soft,Casual,
76,Warm,Soft,City minimalist,
14,Warm,Soft,Casual,
15,Warm,Soft,City minimalist,
88,Cool,Clear,Casual,
49,Warm,Soft,Casual,Enkelhet och elegans i en sportig tappning
95,Warm,Soft,Edgy,En avslappnad och bekväm stil som kännetecknas av rena och raka former. Färgschemat är återhållet och inkluderar en varierad palett av texturer som skapar en intressant och dynamisk känsla.
38,Warm,Soft,City minimalist,"En stil som kännetecknas av avslappnad elegans, med en touch av oplanerad charm."
82,Warm,Soft,City minimalist,"En person som gillar att leva livet på sin egna villkor, med en stil som är en härlig mix av energi, lekfullhet och avspändhet."
84,Warm,Soft,City minimalist,"En avskalad och ibland något råbarkad estetik som ofta uttrycks genom en palett av jordnära färger som vitt, beige, svart, brunt, grönt och grått. Plaggen är ofta lager på lager, med inslag av denim, läder, vida byxor, stickade plagg, stora sjalar, sneakers och kängor."
3,Warm,Soft,City minimalist,En stil som kombinerar kraftfullhet med feminina detaljer och en touch av sofistikering.
65,Cool,Soft,City minimalist,"Enkelhet och renhet kännetecknar din stil, med fokus på funktion och minimala detaljer."
22,Warm,Clear,Eclectic,"Jag föredrar kläder som känns lätta och bekväma mot huden, som till exempel plagg i silke, tunn bomull eller trikå. Jag gillar också kläder med stretch för extra rörelsefrihet. Jag vill inte ha kläder som känns tunga eller för tighta. Jag tycker om när det händer något i designen, som till exempel asymmetriska linjer eller intressanta detaljer. När det gäller färger så gillar jag kombinationer av svart, vit, marinblå, beige och jordfärger, och ibland även rosa. Jag vill att min stil ska vara en mix av sportig och klassisk med en twist som gör mig glad. Jag har svårt att definiera min egen stil, vilket är en av anledningarna till att jag vill utforska den vidare."
58,Warm,Clear,Eclectic,"En stil som präglas av tydliga kontraster, feminina detaljer och en personlig touch."
27,Cool,Soft,Edgy,
42,Cool,Clear,City minimalist,
29,Cool,Soft,Edgy,
45,Cool,Soft,City minimalist,
51,Cool,Clear,Casual,
68,Warm,Soft,Chic,
71,Cool,Clear,Casual,
61,Warm,Soft,Chic,
87,Warm,Soft,City minimalist,"Jag har en stil som balanserar mellan klassiskt och modernt, utan att vara alltför påkostad eller extrem. Jag föredrar en underhållsam och diskret look som inte drar onödig uppmärksamhet till sig."
60,Warm,Soft,Casual,"Jag tenderar att hålla det enkelt och bekvämt när det gäller min stil, men jag gillar att lägga till en touch av elegans med en snygg blus ibland."
17,Warm,Clear,Casual,
92,Warm,Soft,Eclectic,
53,Cool,Clear,City minimalist,
72,Cool,Soft,City minimalist,
79,Warm,Soft,Bohemian,"En stil som kännetecknas av mjuka, dämpade färger och en mjuk, flytande formgivning, kombinerad med en kreativ och ovanlig twist. En fascinerande blandning av österländskt formspråk och bohemiskt uttryck."
8,Cool,Soft,City minimalist,"En avslappnad look med feminina detaljer är vad som känns rätt. Öppna, bekväma plagg som ändå har en kvinnlig touch är idealiska. När det gäller färger så lockar pastelltoner som rosa, grönt och blått. En klassisk kombination av jeans och en enkel topp är också ett säkert val."
81,Warm,Soft,City minimalist,"Jag har en förkärlek till en stil som inte är rädd för att ta plats, antingen genom en färgstark eller mönstrad look. I annat fall tenderar jag att föredra en mer jordnära palett som utstrålar självsäkerhet och en viss nonchalans. Jag vill att min stil ska vara feminin, men på ett sätt som är moget och kvinnligt."
37,Cool,Soft,City minimalist,"Min personliga stil är en unik blandning av bekvämlighet och individualitet. Jag väljer kläder som jag själv uppskattar, utan att för den skull följa den senaste modetrenden. Jag strävar efter att skapa en egen look som känns autentisk och bekväm, samtidigt som jag inte är rädd för att prova nya saker.

I min garderob dominerar naturfärger, men jag gillar också att lägga till en touch av färg för att skapa intresse. Enfärgade plagg är min grej, men jag har också en svaghet för klänningar och blusar med diskreta mönster, som små blommor."
69,Warm,Clear,Bohemian,"Jag kan inte skriva om svaret eftersom det inte innehåller något begripligt innehåll. Det verkar vara en samling slumpmässiga bokstäver. Om du kan ge mig en ny fråga eller ett nytt svar som jag kan skriva om, så hjälper jag gärna till!"
10,Warm,Soft,City minimalist,"Jag föredrar en minimalistisk approach till mode, med en tydlig förkärlek till detaljer som puffärmar. Mitt garderobsfärgschema tenderar att vara mörkt, med svart som en favoritfärg. När det gäller plagg föredrar jag ofta klänningar för deras enkelhet och bekvämlighet. Tillbehör som högklackade skor är också ett plus."
86,Warm,Soft,City minimalist,"En stil som är både sofistikerad och avslappnad, med en touch av romantik och en känsla av frihet."
62,Cool,Clear,Eclectic,"Jag tenderar att dras till en palett av neutrala och jordnära toner, med inslag av mjuka, pastellfärger som grönt, korall och aprikos. Ibland kan även brunt dyka upp i min färgspegel. När det gäller min stil så är den ganska mångfacetterad. I professionella sammanhang föredrar jag en mer sofistikerad look med en touch av konstnärlighet och bohemskhet. I vardagslivet, särskilt hemma, svänger stilen mer åt det sportiga eller alternativa bohemiska hållet. Jag har svårt att fastna i en enda stil, eftersom jag uppskattar variation. När det kommer till kläder, föredrar jag ofta plagg med en löslig passform eller sådana som är extra bekväma, gärna med en generös mängd tyg som skapar en mjuk, böljande effekt."
32,Warm,Soft,Casual,"Jag tenderar att hålla mig till en bekväm och praktisk garderob. Mina vanligaste plagg är långärmade toppar och byxor i mörka färger, ofta i kombination med en jacka eller kappa. På sommaren kan jag ibland hitta en snygg kjol eller klänning att ha på mig. Jag har också en mer avslappnad look med vida byxor och enkla t-shirts, som jag gärna kombinerar med sneakers. När det gäller färger så föredrar jag en palett av mörkblått, bourdeaux, svart, vitt och mörkgrönt. Min personliga stil är ganska lågmäld och alldaglig, jag strävar inte efter att göra några stora modeuttalanden."
93,Cool,Soft,City minimalist,
26,Cool,Clear,City minimalist,
89,Warm,Soft,Chic,
25,Warm,Soft,City minimalist,"En avslappnad och sofistikerad look. Kläder med enkla, diskreta mönster. Inga åtsittande plagg eller skor med höga klackar. Pastellfärger är ett plus."
39,Warm,Soft,Eclectic,"En stil som balanserar tradition och modernitet, med en kombination av klassiska element och oväntade detaljer. En viktig aspekt är att det finns en eller flera saker som sticker ut och bryter mot det förväntade. Färgvalet är också viktigt, med en palett som kan innehålla allt från diskreta nyanser till mer utmanande och djärva val. Dessutom kombineras olika material på ett sätt som skapar en intressant textur och visuell spänning. Slutligen finns det en viss grad av lekfullhet och experimentlusta, där det ""galna"" och oväntade kan dyka upp och förvåna."
43,Warm,Clear,City minimalist,"Jag har en stil som är en unik blandning av olika influenser. Jag föredrar kläder som är bekväma och avslappnade, men som också har en touch av elegans och sofistikation. Jag vill kunna bära mina kläder i olika sammanhang, från en dag på kontoret till en eftermiddag i parken.

Jag tycker om att betona min hals och nacke med mina kläder, och föredrar därför inte kläder med polokragar. När det gäller kjolar så föredrar jag antingen en längd som är strax under knäna eller en längre variant som når ner till golvet.

Jag gillar byxor som har en avslappnad passform, som bootcut eller utsvängda modeller, och föredrar inte tighta, raka byxor. Jag tycker om byxor som sitter bra över rumpan och har en medelhög eller hög midja.

När det gäller material så föredrar jag mjuka och sköna tyger som inte irriterar huden. Jag vill kunna röra mig fritt och bekvämt i mina kläder, utan att behöva oroa mig för att de ska vara obekväma eller obehagliga."
75,Warm,Soft,Edgy,"En stil som kombinerar feminina detaljer med en modern twist, där man experimenterar med olika strukturer och volymer för att skapa en snygg och fashionabel look som accentuerar kroppens former utan att vara för djärv."
63,Warm,Soft,Casual,"Din stil verkar vara en perfekt balans mellan funktion och elegans. Du tenderar att föredra plagg som är både bekväma och tidlösa, med rena linjer och enkelhet som kännetecken. Det verkar som att du uppskattar en klassisk approach till mode, men utan att tumma på komforten. Dessutom verkar du värdesätta praktiska val som är lätta att underhålla, vilket tyder på att du är en person som vill ha en enkel och hanterbar garderob."
9,Cool,Soft,Casual,"En avslappnad och självsäker look med en touch av nonchalans, där enkelheten kombineras med en intressant detalj som bryter av och ger en extra dimension."
16,Warm,Soft,Casual,"Jag föredrar kläder som känns behagliga mot huden och är lätta att ta hand om. Jag vill helst undvika plagg som kräver mycket underhåll, som att strykas. När jag väljer kläder försöker jag hitta saker som går att kombinera på många olika sätt, så att jag kan skapa olika outfits utan att behöva tänka för mycket. Ibland vill jag ha en pop av färg i min outfit, som en grön, orange eller blå detalj som sticker ut. Jag gillar också mönstrade blusar och skjortor med ränder eller prickar.

Jag är en stor fan av jeans och tycker om att ha ett par som passar bra. Jag gillar också att bära kjolar och klänningar, men det som hindrar mig från att göra det oftare är att jag måste tänka på att matcha dem med rätt strumpbyxor, accessoarer och ytterplagg, särskilt under vintermånaderna.

När det gäller smycken föredrar jag enkla och diskreta plagg, som små örhängen, armband och ibland ett enkelt halsband. Min vardagsstil är ganska avslappnad och bekväm, men när jag går ut och socialiserar gillar jag att klä upp mig lite mer. Jag sminkar mig sällan, men när jag gör det så är det med en lätt hand."
6,Cool,Clear,Eclectic,"Jag gillar att variera utseendet och inte fastna i en enda stil. Jag uppskattar att kunna välja mellan att göra intryck och att hålla en låg profil, beroende på humör och tillfälle."
67,Cool,Soft,Edgy,
64,Warm,Soft,Casual,
12,Cool,Soft,City minimalist,
66,Warm,Clear,City minimalist,
96,Cool,Soft,City minimalist,
23,Cool,Clear,Casual,
73,Warm,Soft,City minimalist,
5,Warm,Soft,City minimalist,
11,Warm,Soft,Preppy,
47,Warm,Soft,Casual,
40,Warm,Soft,Edgy,
24,Warm,Soft,Bohemian,
54,Cool,Soft,City minimalist,"Jag har en ganska varierad garderob som innehåller allt från casual till mer formella plagg. Jag gillar att blanda och matcha olika stilar för att skapa en unik look. Jag har allt från bekväma plagg som jeans och t-shirts till mer dressade plagg som kavajer och klänningar. Jag har också en förkärlek till accessoarer som solglasögon, klockor och smycken som kan lägga till en extra touch till min outfit. Jag strävar efter att se snygg och cool ut, men också bekväm och självsäker. Jag tycker att min stil är en perfekt blandning av avslappnad och sofistikerad, och jag älskar att experimentera med olika kombinationer för att hitta nya looks. Jag känner mig verkligen nöjd med min stil och tycker att den speglar min personlighet på ett bra sätt."
7,Warm,Clear,Eclectic,"Jag älskar att bära kläder som ger mig en känsla av lycka och självförtroende. Min stil kännetecknas av färgglada, bekväma och fashionabla plagg som får mig att känna mig modig och glad."
19,Cool,Soft,City minimalist,"Jag har en förkärlek till färgglada plagg, men även en mer avskalad och tuff look med svarta plagg tilltalar mig. När det gäller passform föredrar jag plagg som sitter tajt och inte är för volymina, eftersom jag har en smal och relativt kort kroppsbyggnad."
91,Cool,Soft,City minimalist,"Jag har en tydlig uppfattning om min nuvarande stil, men den har påverkats av mitt nuvarande livsskede med småbarn. Mitt fokus ligger på att bygga en garderob som består av plagg som jag känner mig bekväm i och som smickrar min kropp. Målet är en stil som utstrålar medvetenhet och enkelhet, som är anpassad till min kroppsform och som inte kräver för mycket underhåll."
33,Warm,Clear,City minimalist,"Jag har en förkärlek till en tidlös och harmonisk stil, men med en liten överraskning. Jag gillar att införa en färgstark detalj, som en färgglad scarf eller ett par statement-örhängen, för att ge uttrycket en extra touch. Jag föredrar en välbalanserad look, även om den kan uppfattas som en aning förutsägbar. När våren och sommaren kommer, älskar jag att experimentera med färger, men under vintermånaderna tenderar jag att hålla mig till en mer neutral palett. Jag strävar efter en stil som är modern men inte alltför trendig, och jag föredrar att investera i klassiska, högkvalitativa plagg som kan bäras under många år. Om jag hade en större budget för mode, skulle jag vilja utöka min samling av accessoarer och skor för att kunna variera min stil ytterligare. Jag har en svaghet för diskreta detaljer som örhängen och bälten som kan lägga till en touch av personlighet utan att ta över hela uttrycket."
70,Cool,Soft,City minimalist,En stil som kombinerar nordisk minimalism med kvinnliga detaljer. En diskret färgpalett med inslag av mönster och färgklickar från tillbehör och skor.
21,Cool,Clear,City minimalist,"Jag strävar efter en stil som är tidlös men samtidigt fashionabel och moderiktig. Jag vill att min stil ska vara iögonfallande och fånga uppmärksamhet, utan att för den skull vara för utmanande eller överdriven. Jag föredrar en ungdomlig look som är fräsch och energisk, men som ändå är sofistikerad och passar en vuxen person. Jag gillar att experimentera med olika mönster och färger som lyfter fram min hudton och ger mig en fräsch och pigg look."
83,Warm,Clear,Casual,"Jag tenderar att föredra en look som är avskalad och funktionell, med inslag av urbana och outdoor-inspirationer. Jag har en förkärlek till bekväma plagg som jeans och sneakers, och tillbehör som mössor. Jag strävar efter en enkel, men samtidigt snygg och modern stil, utan att ha några traditionellt feminina detaljer."
4,Cool,Soft,City minimalist,
50,Cool,Clear,Edgy,
1,Warm,Soft,Preppy,
31,Cool,Soft,Preppy,
52,Cool,Soft,Romantic,
85,Cool,Clear,City minimalist,"En stil som kännetecknas av enkelhet och harmoni, med en färgpalett som är välkoordinerad och kompletteras av detaljer som förstärker helhetsintrycket. Den ska förmedla en känsla av sofistikering och lycka."
80,Cool,Soft,City minimalist,"Elegant, avskalat, funktionellt och tidlöst."
18,Cool,Soft,Romantic,"Jag har en förkärlek till att uttrycka min feminina sida genom min klädstil. Mina favoritplagg är klänningar och kjolar, som jag tycker lyfter fram min kvinnlighet. Jag gillar också att variera min look med olika typer av väskor och accessoarer för att skapa en personlig touch."
56,Warm,Clear,Eclectic,"En stil som präglas av tydliga kontraster, där uttrycket varierar beroende på dagsformen och som innehåller unika detaljer som speglar personligheten."
57,Warm,Soft,City minimalist,"En stil som kännetecknas av enkelhet och elegans, med en varm och inbjudande känsla. Färgschemat domineras av jordnära toner som kompletteras med diskreta höstinspirerade nyanser. Istället för klassiska ränder förekommer blommiga mönster. 

Skor - Flata skor i form av ballerinaskor, pumps, stövlar eller sandaler är favoriter.
Byxor - Ankel- eller 7/8-långa byxor med vid passform i varma, jordnära färger är vanliga. 
Jeans - Med stretch och vid passform.
Topp - Tjockare bomull, båtringad hals, varma neutrala färger, 3/4-ärmar och puffärmar.
Tröjor - Figursydda, i material som cashmere, ull, mohair eller alpacka.
Smycken - Understated, i guld, roséguld eller kombinationer av dessa.
Kläder som värderar kvalitet och komfort, med fokus på material som känns bra mot huden och tillåter hudens naturliga andning. En modern stil med en hint av 60-talsinspiration."
44,Cool,Soft,City minimalist,
77,Warm,Clear,Eclectic,
90,Warm,Soft,Casual,
34,Warm,Soft,City minimalist,
